Paper Name,Year,Authors
Mind the Gap: Learning to Choose Gaps for Question Generation ,2012,"Lee Becker, Sumit Basu, Lucy Vanderwende 
"
Natural Language Generation for Nature Conservation: Automating Feedback to help Volunteers identify Bumblebee Species ,2012,"Steven Blake, Nirwan Sharma, Ben Darvill, 
Advaith Siddharthan, Hien Nguyen, Anne-Marie Robinson,  Elaine O′Mahony,  Chris Mellish, René van der Wal"
The Secret’s in the Word Order: Text-to-Text Generation for Linguistic Steganography ,2012,"Ching − Yun Chang, Stephen Clark"
Generation of landmark-based navigation instructions from open-source data ,2012,"Markus Dräger, Alexander Koller "
Perceptions of Alignment and Personality in Generated Dialogue ,2012,"Alastair J. Gill, Carsten Brockmann, Jon Oberlander"
Automatic generation of natural language nursing shift summaries in neonatal intensive care: BT-Nurse,2012,"James Hunter, Yvonne Freer, Albert Gatt, Ehud Reiter, Somayajulu Sripada, Cindy Sykes"
Unsupervised Concept-to-text Generation with Hypergraphs ,2012,"Ioannis Konstas, Mirella Lapata"
Collective Generation of Natural Image Descriptions ,2012,"Polina Kuznetsova, Vicente Ordonez, Alexander C. Berg, Tamara L. Berg, Yejin Choi "
Midge: Generating Image Descriptions From Computer Vision Detections ,2012,"Margaret Mitchell, Jesse Dodge, Amit Goyal, Kota Yamaguchi, Karl Stratos, Xufeng Han, Alyssa Mensch, Alex Berg, Tamara Berg, Hal Daumé III"
Interactive Natural Language Query Construction for Report Generation ,2012,"Fred Popowich, Milan Mosny, David Lindberg "
Blogging birds: Generating narratives about reintroduced species to promote public engagement,2012,"Advaith Siddharthan, Matthew Green, Kees van Deemter, Chris Mellish & René van der Wal "
POS-tag based poetry generation with WordNet ,2013,"Manex Agirrezabal, Bertol Arrieta, Aitzol Astigarraga, Mans Hulden"
Exploiting ontology lexica for generating natural language texts from RDF data ,2013,"Philipp Cimiano, Janna Lüker, David Nagel, Christina Unger"
Generating student feedback from time-series data using Reinforcement Learning ,2013,"Dimitra Gkatzia, Helen Hastie, Srinivasan Janarthanam, Oliver Lemon"
Using Integer Linear Programming in Concept-to-Text Generation to Produce More Compact Texts ,2013,"Gerasimos Lampouras, Ion Androutsopoulos "
Generating Natural Language Questions to Support Learning On-Line,2013,"David Lindberg, Fred Popowich, John Nesbit, Phil Winne "
Generating Expressions that Refer to Visible Objects ,2013,"Margaret Mitchell, Kees van Deemter, Ehud Reiter "
Generating Synthetic Comparable Questions for News Articles ,2013,"Oleg Rokhlenko, Idan Szpektor "
GenNext: A Consolidated Domain Adaptable NLG System ,2013,"Frank Schilder, Blake Howald, Ravi Kondadadi "
MIME - NLG in Pre-Hospital Care ,2013,"Anne H. Schneider ,Alasdair Mort, Chris Mellish, Ehud Reiter, Phil Wilson, Pierre-Luc Vaudry"
“Let Everything Turn Well in Your Wife”: Generation of Adult Humor Using Lexical Constraints ,2013,"Alessandro Valitutti, Hannu Toivonen, Antoine Doucet, Jukka M. Toivanen "
Two-Stage Stochastic Natural Language Generation for Email Synthesis by Modeling Sender Style and Topic Structure ,2014,"Yun-Nung Chen, Alexander I. Rudnicky "
A Hybrid Approach to Multi-document Summarization of Opinions in Reviews,2014,"Giuseppe Di Fabbrizio, Amanda J. Stent, Robert Gaizauskas"
Comparing Multi-label Classification with Reinforcement Learning for Summarisation of Time-series Data ,2014,"Dimitra Gkatzia, Helen Hastie, Oliver Lemon 
"
Finding middle ground? Multi-objective Natural Language Generation from time-series data ,2014,"Dimitra Gkatzia, Helen Hastie, Oliver Lemon "
Multi-adaptive Natural Language Generation using Principal Component Regression ,2014,"Dimitra Gkatzia, Helen Hastie, Oliver Lemon 
"
Surface Realisation from Knowledge-Bases ,2014,"Bikash Gyawali, Claire Gardent"
A Case Study: NLG meeting Weather Industry Demand for Quality and Quantity of Textual Weather Forecasts ,2014,"Somayajulu G Sripada, Neil Burnett, Ross Turner, John Mastin, Dave Evans "
"Integrating Language and Vision to Generate Natural Language Descriptions of Videos in the Wild ",2014,"Jesse Thomason, Subhashini Venugopalan, Sergio Guadarrama, Kate Saenko, Raymond Mooney "
Chinese Poetry Generation with Recurrent Neural Networks ,2014,"Xingxing Zhang, Mirella Lapata "
